record_ID,units_sold
212645,inf
212646,inf
212647,inf
212648,inf
212649,inf
212653,inf
212654,inf
212657,inf
212658,inf
212661,inf
212662,inf
212663,inf
212666,inf
212667,inf
212668,inf
212671,inf
212672,inf
212673,inf
212674,inf
212675,inf
212676,inf
212677,inf
212678,inf
212679,inf
212681,inf
212682,inf
212683,inf
212686,inf
212687,inf
212688,inf
212689,3.0490676254961306e+23
212691,inf
212692,inf
212693,inf
212694,inf
212695,inf
212696,inf
212697,inf
212698,inf
212699,inf
212700,inf
212701,inf
212702,inf
212703,inf
212704,inf
212705,inf
212706,inf
212707,inf
212709,inf
212710,inf
212711,inf
212712,inf
212713,inf
212716,inf
212717,inf
212718,inf
212719,inf
212721,inf
212722,inf
212723,inf
212724,inf
212725,inf
212727,inf
212728,inf
212729,inf
212731,inf
212732,inf
212734,inf
212735,inf
212736,inf
212737,inf
212738,inf
212739,inf
212740,inf
212742,inf
212743,inf
212744,inf
212748,inf
212749,inf
212750,inf
212751,inf
212752,inf
212754,inf
212755,inf
212756,inf
212757,inf
212758,inf
212759,inf
212760,inf
212761,inf
212763,inf
212764,inf
212765,inf
212767,inf
212768,inf
212769,inf
212772,inf
212773,inf
212774,inf
212775,inf
212776,inf
212777,1.552062906236868e+303
212778,inf
212779,inf
212782,inf
212783,inf
212787,inf
212788,inf
212789,inf
212790,inf
212792,inf
212793,inf
212794,inf
212796,inf
212797,inf
212798,inf
212799,inf
212800,inf
212802,inf
212803,inf
212805,inf
212806,inf
212807,inf
212809,inf
212812,inf
212816,inf
212817,inf
212818,inf
212819,inf
212820,inf
212821,inf
212822,inf
212823,inf
212824,inf
212825,inf
212826,inf
212828,inf
212829,inf
212830,inf
212831,inf
212832,inf
212833,inf
212834,inf
212835,inf
212837,inf
212838,inf
212839,inf
212840,inf
212843,inf
212844,inf
212845,inf
212846,inf
212849,inf
212850,inf
212853,inf
212856,inf
212857,inf
212860,inf
212861,inf
212862,inf
212863,inf
212866,inf
212867,inf
212868,inf
212869,inf
212870,inf
212872,inf
212873,inf
212874,inf
212875,inf
212876,inf
212877,inf
212879,inf
212880,inf
212881,inf
212884,inf
212885,inf
212886,inf
212888,inf
212889,inf
212890,inf
212891,inf
212892,inf
212893,inf
212896,inf
212899,5293457211251.0
212900,inf
212901,inf
212902,inf
212903,inf
212905,inf
212906,inf
212907,inf
212910,inf
212911,inf
212914,inf
212915,inf
212916,inf
212917,inf
212919,inf
212920,inf
212921,inf
212924,inf
212925,inf
212926,inf
212927,inf
212929,inf
212930,inf
212931,inf
212932,inf
212933,inf
212934,inf
212935,inf
212936,inf
212937,inf
212938,inf
212940,inf
212941,inf
212942,inf
212946,inf
212947,inf
212948,inf
212949,inf
212950,inf
212951,inf
212952,inf
212954,inf
212955,inf
212956,inf
212959,inf
212960,inf
212964,inf
212965,inf
212966,inf
212967,inf
212968,inf
212969,inf
212970,inf
212971,inf
212973,inf
212974,inf
212977,inf
212978,inf
212979,inf
212981,inf
212982,inf
212983,inf
212984,inf
212985,inf
212986,inf
212987,inf
212988,inf
212989,inf
212990,inf
212991,inf
212993,inf
212994,inf
212995,inf
212996,inf
212997,inf
212998,inf
212999,2.7009789314775115e+52
213001,inf
213002,inf
213006,inf
213007,inf
213011,inf
213012,inf
213013,inf
213016,inf
213017,inf
213020,inf
213021,inf
213022,inf
213023,inf
213025,inf
213026,inf
213027,inf
213031,inf
213032,inf
213033,inf
213034,inf
213035,inf
213036,inf
213037,inf
213038,inf
213039,inf
213040,inf
213041,inf
213043,inf
213048,inf
213049,inf
213050,inf
213053,inf
213054,inf
213055,inf
213056,inf
213059,inf
213060,inf
213061,inf
213064,inf
